Price,usable_area_sqft,bedroom,Bathroom,bathroom_ratio,balconies,Floor No,floors,floor_ratio,area_price_mean,city_price_mean,amenity_count,luxury_score,Facing,Maintenance Charges,isPrimeLocationProperty_Y
3150000.0,375.0,1,2.0,2.0,2.0,5.0,14.0,0.3571428571428571,5983742.342391305,11238531.74308094,90,5,East,3.0,True
6300000.0,579.0,2,2.0,1.0,2.0,20.0,34.0,0.5882352941176471,5983742.342391305,11238531.74308094,90,5,East,3.0,True
5400000.0,585.0,2,2.0,1.0,2.0,18.0,18.0,1.0,5983742.342391305,11238531.74308094,90,5,East,1200.0,True
9000000.0,815.0,2,2.0,1.0,3.0,5.0,27.0,0.1851851851851851,5983742.342391305,11238531.74308094,90,5,East,3200.0,True
4950000.0,419.0,1,2.0,2.0,2.0,8.0,26.0,0.3076923076923077,5983742.342391305,11238531.74308094,89,5,East,2500.0,True
6570000.0,667.0,2,2.0,1.0,1.0,16.0,18.0,0.8888888888888888,5983742.342391305,11238531.74308094,90,5,North - East,2.0,True
5500000.0,550.0,2,2.0,1.0,2.0,1.0,7.0,0.1428571428571428,5983742.342391305,11238531.74308094,90,5,East,2000.0,True
4200000.0,585.0,1,1.0,1.0,2.0,4.0,8.0,0.5,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
3449000.0,370.0,1,1.0,1.0,1.0,16.0,22.0,0.7272727272727273,5983742.342391305,11238531.74308094,90,5,North - East,3.0,True
5000000.0,430.0,1,1.0,1.0,1.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,16,0,West,2500.0,True
2990000.0,370.0,1,2.0,2.0,3.0,10.0,30.0,0.3333333333333333,5983742.342391305,11238531.74308094,90,5,East,1200.0,True
4190000.0,570.0,2,2.0,1.0,3.0,10.0,30.0,0.3333333333333333,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
4900000.0,595.0,1,1.0,1.0,2.0,9.0,19.0,0.4736842105263157,5983742.342391305,11238531.74308094,89,5,North - East,2500.0,True
4700000.0,462.0,1,1.0,1.0,1.0,16.0,18.0,0.8888888888888888,5983742.342391305,11238531.74308094,89,5,North - West,3.0,True
10450000.0,980.0,3,2.0,0.6666666666666666,3.0,9.0,26.0,0.3461538461538461,5983742.342391305,11238531.74308094,90,5,North - East,1600.0,True
12000000.0,927.0,3,3.0,1.0,3.0,18.0,36.0,0.5,5983742.342391305,11238531.74308094,90,5,East,2500.0,True
7000000.0,650.0,2,2.0,1.0,2.0,9.0,23.0,0.391304347826087,5983742.342391305,11238531.74308094,89,5,North - East,2500.0,True
7000000.0,761.0,2,2.0,1.0,2.0,9.0,15.0,0.6,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
4800000.0,460.0,1,2.0,2.0,1.0,4.0,21.0,0.1904761904761904,5983742.342391305,11238531.74308094,89,5,North - East,4.0,True
9500000.0,661.0,2,2.0,1.0,1.0,20.0,38.0,0.5263157894736842,5983742.342391305,11238531.74308094,90,5,North - West,4500.0,True
7499000.0,709.0,2,2.0,1.0,2.0,18.0,27.0,0.6666666666666666,5983742.342391305,11238531.74308094,90,5,North - East,0.0,True
4500000.0,450.0,1,2.0,2.0,3.0,5.0,21.0,0.238095238095238,5983742.342391305,11238531.74308094,89,5,East,2200.0,True
4300000.0,367.0,1,2.0,2.0,2.0,18.0,33.0,0.5454545454545454,5983742.342391305,11238531.74308094,90,5,East,0.0,True
3950000.0,390.0,1,2.0,2.0,1.0,11.0,29.0,0.3793103448275862,5983742.342391305,11238531.74308094,10,0,East,1200.0,True
3600000.0,467.0,1,2.0,2.0,2.0,21.0,30.0,0.7,5983742.342391305,11238531.74308094,90,5,North - East,2500.0,True
3580000.0,460.0,1,1.0,1.0,2.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,89,5,East,1000.0,True
14796000.0,1385.0,3,3.0,1.0,4.0,7.0,36.0,0.1944444444444444,5983742.342391305,11238531.74308094,89,5,East,7000.0,True
4300000.0,505.0,2,2.0,1.0,2.0,3.0,14.0,0.2142857142857142,5983742.342391305,11238531.74308094,90,5,East,3.0,True
4185500.0,384.0,1,2.0,2.0,2.0,10.0,23.0,0.4347826086956521,5983742.342391305,11238531.74308094,90,5,East,3.0,True
6570000.0,667.0,2,2.0,1.0,1.0,16.0,18.0,0.8888888888888888,5983742.342391305,11238531.74308094,90,5,North - East,2.0,True
5500000.0,550.0,2,2.0,1.0,2.0,1.0,7.0,0.1428571428571428,5983742.342391305,11238531.74308094,90,5,East,2000.0,True
4200000.0,585.0,1,1.0,1.0,2.0,4.0,8.0,0.5,5983742.342391305,11238531.74308094,90,5,East,1500.0,True
3449000.0,370.0,1,1.0,1.0,1.0,16.0,22.0,0.7272727272727273,5983742.342391305,11238531.74308094,90,5,North - East,3.0,True
5000000.0,430.0,1,1.0,1.0,1.0,5.0,7.0,0.7142857142857143,5983742.342391305,11238531.74308094,16,0,West,2500.0,True
